"Story","Title","Result","Date","Stability","Duration (s)"
"Verificar que se pueda agregar un producto a la pagina de floristeria","Verificar que se pueda eliminar el carrito","ERROR","2023-10-26T17:34:04.4754502-05:00[America/Bogota]","0.0","0.33"
"Verificar que se pueda agregar un producto a la pagina de floristeria","Verificar que se pueda eliminar el carrito","SUCCESS","2023-10-26T17:36:42.9928232-05:00[America/Bogota]","0.0","21.77"
